County,Offense,Offense Description,Offense Date
Starr,Other,EVADING ARREST DET W/VEH,6/24/2017
Bell,Violent,AGG ASLT SBI,2/17/2019
Cameron,Drug,POSS CONT SUBS,7/25/2018
Galveston,Drug,"POSS CS,TO-WIT:METH PG1<1G",7/16/2019
Fayette,Other,SEX OFFENDER DUTY REG LIFE/ANN,9/11/2018
Tarrant,Property,THEFT<2500-2 MORE PREV CONV,1/18/2019
Bexar,Drug,POSS CONT SUB 1-4G RPT,6/15/2017
Madison,Property,THEFT PROP $2500-$30K,4/9/2017
Bexar,Property,THEFT UND 2500 ENH,8/21/2019
Travis,Drug,POSS CS PG1 L/1G COCAINE,4/20/2019
Potter,Property,FORG FINAN INSTRU,7/16/2018
Harris,Drug,POSS CS PG1 L/1G COCAINE,12/23/2017
Travis,Other,DRIVING WHILE INTOXICATED 3RD OR,1/10/2018
Tarrant,Violent,INJ TO ELDER INDIVID CAUSE BI,8/30/2019
Bowie,Drug,POSS CS PG 1 <1G,7/10/2017
Galveston,Other,DWI,10/13/2018
Bexar,Drug,POSS CONT SUB PG1 1-4G,5/8/2018
Atascosa,Drug,POSS CS PG1<1G,4/22/2018
Lubbock,Property,BURG HABIT,7/13/2018
Montgomery,Drug,POSS CS,3/26/2019
Montgomery,Drug,POSS CS,9/18/2019
Taylor,Drug,POSS OF METH,2/3/2017
Montgomery,Other,DWI SUBSEQUENT OFF,1/14/2018
Tom Green,Other,DWI,6/19/2017
Harris,Property,BURG VEHICLE W/2 OR MORE CONV,6/24/2018
Bexar,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BRE,6/8/2017
Tarrant,Violent,ROBBERY BI,2/21/2018
Denton,Other,EVADE ARREST,3/22/2017
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV",12/17/2017
Tom Green,Drug,POSS CS L/1G:METH,6/19/2018
Wilbarger,Other,EVADING ARREST W/VEHICLE,3/28/2019
Angelina,Drug,POSS CONT SUB W/INT DEL PG1 L/1G,9/6/2017
Tarrant,Drug,POSS C/S<1G; METH,4/7/2018
Bexar,Other,VIOL SEX OFFENDER REG-ANNUAL,10/15/2018
Burnet,Other,DWI 3RD OR MORE,5/1/2018
Bexar,Drug,POSS CS PG 1 < 1G,11/27/2018
Harrison,Property,THEFT PROP<2500 2/M PREV CONV,10/12/2019
Van Zandt,Other,DRIVING WHILE INTOXICATED 3RD OR,11/18/2017
Collin,Drug,POSS CONT SUB PG1 L/G,1/18/2019
Harris,Other,DWI,4/2/2019
Travis,Other,DWI 3RD OR MORE,7/11/2018
Gregg,Other,DWI,2/10/2017
Harris,Other,DWI,12/22/2018
Bexar,Drug,POSS CONT/SUB L/1G,5/9/2017
Kleberg,Drug,POSS CS,7/29/2019
Travis,Other,DWI,1/21/2019
Tarrant,Property,BURG/BLDG,2/2/2018
Tarrant,Property,THEFT <$2500 2 MORE PREV CONVS,4/3/2018
Cooke,Drug,POSS CS PG1 L1G,3/18/2018
Harris,Property,FLSE STMNT OBTN CREDIT $30K-150K,3/1/2017
Harris,Violent,AGG ASLT W/DEADLY WPN,5/8/2017
Hidalgo,Other,EVAD ARREST DET W/VEH,1/24/2017
Harris,Property,UUV,6/6/2019
Brazoria,Violent,INJURY TO ELDERLY,7/26/2018
Wilbarger,Drug,POSS CONT SUB,1/10/2017
Harris,Other,DWI 3RD,6/17/2017
Fort Bend,Other,DWI 3RD MORE,5/14/2017
Dallas,Property,FORGE FINANCIAL INSTRU ENH,5/3/2018
Matagorda,Drug,POSS CONT SUB,6/23/2018
Tarrant,Other,PROSTITUTION W/3 RD OR MORE,7/22/2019
Harris,Property,THEFT </2500 2M PREV CONV,9/29/2018
Smith,Violent,INJURY CHILD/ELDERLY/DISABLE REC,3/14/2019
Randall,Violent,INJ CHILD/ELD/DIS RECK BI,4/19/2017
Victoria,Property,THEFT,11/3/2017
Titus,Violent,ASLT FAM VIOL-CHOKING,4/30/2018
Travis,Drug,MAN/DEL CS L/1G DFZ COCAINE,7/25/2017
Harrison,Drug,MAN DEL CONT SUB 1-4G,12/1/2017
Rusk,Drug,POSS C/S PG1<1G,3/15/2018
Parker,Drug,"POSS CS <1G, METH",8/22/2017
Orange,Drug,FEL POSS CS,1/4/2019
Liberty,Other,DRIVING WHILE INTOXICATED 3RD OR,4/29/2018
Aransas,Drug,POSS CONT SUBS PG1 1-4G,6/4/2018
Jefferson,Other,FAIL TO COMPLY W/SEX OFF REG,3/8/2018
Navarro,Other,DWI,9/14/2019
Johnson,Other,DRIVING WHILE INTOXICATED W/CHIL,8/25/2018
Bell,Property,THEFT PROP L/$2500 2/M PREV CONV,1/19/2019
Bexar,Property,"THEFT UNDER $2,500 ENH",5/7/2019
Kleberg,Other,DWI 3/M,2/18/2017
Tarrant,Violent,ASLT FAM/HSE MEM IMP BRTH/CIRC,7/16/2017
El Paso,Other,DWI,3/21/2017
Potter,Violent,ASLT FAM HSE HLD MEM W/PREV CONV,7/3/2017
Polk,Drug,POSS C/S,4/20/2019
Travis,Other,UNL POSS FIREARM,1/13/2019
Tarrant,Property,THEFT<2500-2 MORE PREV CONV,10/25/2019
Tom Green,Drug,POSS CONT SUB METH L/1G,2/17/2017
Williamson,Drug,LIO POSS CONT SUB PG1 1-4G,3/2/2017
Dallas,Other,EVADE ARREST/DETENTION ENHANCED,5/14/2019
Cameron,Drug,POSS CONT SUB PG 1 < 1G,3/7/2018
Dallas,Property,CREDIT CARD ABUSE,9/24/2019
Erath,Drug,POSS SUB PG1<1G,12/29/2018
Ector,Other,EVADING ARREST/DET W/PREV CONV,9/14/2018
Harris,Property,UUV,4/5/2019
Dickens,Drug,POSS CS PG1<1G METH,8/8/2018
Bexar,Property,BURG BLDG-INTENT THEFT,7/25/2019
Cooke,Other,DWI,9/1/2018
Harris,Drug,POSS CS PG 1 <1G,7/25/2019
Lamar,Other,DWI,4/7/2017
Montgomery,Drug,POSS CS,12/30/2018
Harris,Violent,INJ CHILD/ELDER/DIS RECK BOD INJ,5/14/2018
El Paso,Other,DWI 3RD OR MORE,6/8/2018
Harris,Other,FELON POSS WPN,2/25/2017
Harris,Property,THEFT<2500 2/MORE PREV CONV,9/11/2019
Robertson,Other,EVAD ARREST W/ PREV CONV,4/17/2018
Duval,Drug,POSS CONT SUB WID,4/6/2017
Tarrant,Drug,POSS CS PG 1 1G-4G,4/16/2018
Galveston,Other,DWI,12/15/2017
Harris,Property,THEFT<2500 2/MORE PREV CONV,9/16/2019
Harris,Drug,POSS CS PG1<1G,8/15/2019
Harris,Violent,HARASSMENT OF PUBLIC SERV,4/23/2019
Lamar,Property,FRAUD USE/POSS IDENT INFO<5,1/25/2019
Johnson,Drug,POSS CS PG1 <1G,10/11/2019
McLennan,Drug,POSS C/S; METH,9/24/2018
Harris,Property,"THEFT <$2,500 2/M PREV CONVS",7/12/2019
Fort Bend,Property,"CRIM MISCHIEF $2500<$30,000",9/28/2018
Guadalupe,Property,THEFT OF PROP<$2500 W/2PREV CONV,12/1/2018
Harris,Other,DWI,4/24/2019
Collin,Property,THEFT PROP<2500-2/MORE PREV CONV,4/27/2019
Montgomery,Other,DWI,12/17/2017
Dallas,Violent,AGG ASLT DW KNIFE,9/5/2017
Tarrant,Drug,"POSS C/S <1G, NAMELY: METH",4/12/2019
Harris,Other,EVAD ARREST/DETEN W/PREV CONV,9/21/2018
Wood,Drug,POSS C/S PG1<1G,4/16/2019
Fort Bend,Property,THEFT PROP<2500 2/MORE PREV CONV,3/10/2019
El Paso,Drug,MAN/DEL CONT SUB 4-200G,11/8/2018
Orange,Drug,POSS CONT SUB,7/16/2018
Brown,Drug,POSS CONT SUBS,7/6/2017
Tarrant,Drug,POSS OF METH 4-200G,7/14/2019
Harris,Drug,POSS CS L/1G COCAINE,10/4/2018
Harris,Property,BURG VEHICLE,1/1/2019
Cooke,Drug,POSS CONT SUB PG1 1-4G,3/5/2018
Jefferson,Drug,POSS C/S,6/29/2018
Ellis,Other,UNLAW POSS OF FIREARM BY FELON,11/1/2017
Dallas,Drug,POSS C/S; METH,3/5/2018
Knox,Other,DWI,11/14/2017
Tarrant,Property,THEFT <$2500 2 MORE PREV CONVS,9/7/2019
Tarrant,Property,THEFT<2500-2/MORE PREV CONV,7/22/2018
Dallas,Property,THEFT<2500 WITH 2 PREV CONV,5/1/2019
Tom Green,Other,DWI,5/18/2017
Travis,Drug,ATT POSS CS PG1>1G<=4G:METH,4/18/2019
Montgomery,Drug,POSS CONT SUBS,11/2/2018
Brown,Property,THEFT ENHANCED,4/26/2018
Rockwall,Drug,POSS C/S PG1<1G,5/31/2019
Tarrant,Drug,POSS CS<1G;METH,3/26/2018
Walker,Property,THEFT PROP<2500 W/M PREV CONV,8/8/2018
Harris,Property,"THEFT <$2,500 W/2 MORE PREV CONV",6/8/2018
Parker,Property,FORGERY MONEY,4/26/2017
Navarro,Other,DWI 3/M,12/21/2018
Dallas,Property,THEFT L/2500 PREV CONV,5/16/2017
Dallas,Violent,ASSAULT FAM/HOUSE MEM IMPEDE BRE,3/6/2017
Travis,Drug,ATT POSS CS PG1>1G<=4G(FS):METH,5/5/2018
Montgomery,Other,DWI,1/4/2018
Fort Bend,Other,DWI,11/18/2017
Potter,Violent,ASLT FAM/HSEHLD PREV CONV,7/23/2018
Potter,Other,DWI 3/M,4/29/2018
Shelby,Other,DWI,1/19/2017
Dallas,Property,"CRIMINAL MISCHIEF >=$2,500<$30K",7/27/2018
Bexar,Drug,POSS CONT SUB PG1 4-200G,9/12/2018
Hunt,Drug,POSS CONT SUB PG1 1-4G,10/21/2017
Fayette,Other,TAMP W/PHYS EVID W/I IMP,4/21/2017
Dallas,Drug,POSS CS L/1G COCAINE,9/25/2017
Harris,Property,BURG HABIT WIC THEFT,12/3/2017
Tarrant,Drug,POSS C/S<1G; COCAINE,6/23/2019
Eastland,Property,"THFT <$2,500 W/2 PRIOR THFT CONV",1/24/2018
Harris,Other,DWI THIRD,2/27/2018
Hays,Drug,POSS CS L/1G,12/9/2018
Ector,Property,THEFT W/2 MORE PRIOR CONV,6/26/2018
Tarrant,Drug,POSS CONT SUB 1-4G METH,9/21/2018
Jack,Violent,INJ CHILD ELD DISABLE W/INT BI,6/15/2018
Austin,Other,TAMP FAB PHYS EVID INT IMP,1/10/2019
Harris,Property,FORGERY FINANCIAL INST ELD,7/28/2017
Lampasas,Drug,POSS CS PG 1 <1G,4/4/2019
Harris,Other,FELON POSS WPN,6/29/2018
Montgomery,Drug,POSS CS,8/6/2018
Bexar,Property,"THEFT UND $2,500 ENH",9/2/2019
Hidalgo,Property,"THEFT PROP <$2,500 2/MORE PREV",4/4/2018
Galveston,Other,DWI 3D/M,5/22/2018
Montgomery,Other,EVADING ARREST DETN W/PREV CONV,5/13/2019
Harris,Drug,POSS CONT SUB PG1 1-4G,6/27/2019
Bexar,Property,UUV,2/6/2018
Dallas,Property,BURG OF BUILD,8/24/2017
Dallas,Property,FRAUD POSS ID INFO 10-50,5/23/2018
Ellis,Drug,POSS CONT SUB,12/14/2018
Ellis,Drug,POSS CS,10/14/2017
Nueces,Drug,POSS CS PG 1 < 1G,7/9/2017
Galveston,Property,THEFT PROP<$2500 2/MORE PREV CON,11/8/2018
Gaines,Other,TAMPERING W/PHY EVIDENCE,9/12/2018
Galveston,Other,DWI 3D/M,4/29/2019
Tarrant,Drug,POSS CS 4-200G METH,10/28/2018
Johnson,Other,DRIVING WHILE INTOXICATED 3RD OR,7/22/2018
Bexar,Violent,ASLT FAMILY,5/20/2018
Smith,Drug,POSS CS <1G,2/9/2018
Bowie,Other,DRIVING WHILE INTOXICATED 3RD OR,9/18/2017
Matagorda,Property,BURG OF BLDG,8/20/2017
Travis,Drug,POSS CS PG1 L1G COCAINE,10/8/2018
Travis,Drug,MAN/DEL CS PG1 L1G COCAINE,3/6/2019
Tarrant,Drug,POSS C/S<1G; COCAINE,7/19/2019
Tarrant,Property,BURGLARY OF A BUILDING,2/4/2019
Smith,Drug,POSS C/S PG1<1G,5/30/2019
Potter,Drug,POSS CONT SUB L/1G,10/21/2017
Calhoun,Drug,POSS CS PG 1 <1G,8/2/2017
Navarro,Drug,POSS CONT SUB L/1G,8/3/2017
Midland,Drug,POSS CONT SUB PG1,7/14/2018
El Paso,Other,DWI,5/18/2017
Dallas,Drug,POSS CS COCAINE,8/6/2018
Brazoria,Property,THEFT PROP<2500 2/MORE PREV CONV,2/1/2019
Hidalgo,Violent,ASLT PUBLIC SERVANT,10/4/2017
McLennan,Property,BURGLARY OF A BUILDING,1/19/2019
Tarrant,Drug,POSS CS 1-4G METH,12/26/2017
Ellis,Other,EVADING ARREST/DET W/VEH,6/9/2017
Tarrant,Drug,POSS CONT SUB 1-4G METH,3/12/2019
Comal,Drug,POSS CONT SUB PG1 L/1G,2/26/2018
Harris,Drug,POSS WID PG1 4-200G,3/23/2017
Galveston,Drug,MAN DEL CONT SUBS PG1 L/1G,6/27/2018
Bee,Violent,PROH SEXUAL CONDUCT,11/30/2017
McLennan,Violent,ASLT FAM VIOL W/PRIOR,11/12/2017
Harris,Drug,POSS CS PG1<1G COC,3/23/2019
Bexar,Property,THEFT UNDER $2500 ENHANCED,8/21/2019
Montgomery,Property,THEFT,3/26/2019
Galveston,Drug,MAN DEL CONT SUB PG1 L/1G,1/23/2018
Nueces,Other,DWI 3RD/MORE,1/19/2017
Williamson,Other,DWI 3RD OR MORE,3/9/2018
Ellis,Drug,POSS CONT SUB,5/18/2018
El Paso,Other,FAIL COMP W/SEX OFF REG LIFE/ANN,1/13/2017
Travis,Drug,ATT POSS CS PG1>1G<=4G-METH,12/15/2018
Tarrant,Other,SEX OFFENDER DUTY REGISTER,6/7/2018
Bowie,Property,"THEFT PROP >=$2,500<$30K",8/26/2019
Dallas,Property,THEFT L/2500 W/2 PREV CONVS,3/18/2017
Ector,Other,DWI 3/MORE,2/15/2018
Victoria,Property,THEFT,7/21/2019
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR,9/27/2017
Harrison,Drug,POSS CONT SUB PG 4-200G,6/1/2017
Tarrant,Property,THEFT PROP>=2500<30K,10/1/2018
Hidalgo,Property,CREDIT/DEBIT CARD ABUSE ELDERLY,2/1/2019
Galveston,Property,THEFT OF ALUM/BRNZ/COPP/BRAS<20K,4/15/2019
El Paso,Other,DWI,4/6/2018
Montgomery,Other,TAMPER W/PHYS EVID,10/4/2018
Gray,Drug,POSS C/S PG1 U/1G,8/12/2018
Galveston,Drug,POSS CS COCAINE PG1 L/1G,6/2/2017
Montgomery,Other,DWI SUBSEQUENT,3/12/2018
Parker,Drug,POSS CS METH 1-4G,8/29/2019
Denton,Other,RETALIATION,3/17/2018
Williamson,Drug,POSS CONT SUB PG1 4-200G,6/14/2019
Chambers,Other,EVADING ARREST W/VEH,7/19/2018
Lamar,Drug,POSS C/S PG1<1G,6/10/2018
Kleberg,Violent,CONT VIOL AGAINST FAM,7/22/2017
Bexar,Drug,POSS CONT SUB PG1 L/1G,8/14/2018
Midland,Other,DWI,5/7/2017
Fort Bend,Other,DWI,10/18/2017
Harris,Drug,MAN/DEL CS PG1<1G,4/9/2019
Bexar,Property,THEFT U/2500,5/22/2018
Potter,Drug,POSS C/S PG1 U/1G,5/10/2018
Tarrant,Other,VIOL BOND PROT ORDER 2+W/I 12MTH,7/30/2018
Tarrant,Drug,"POSS CS LT 1G,NAMELY:METH",10/26/2018
Austin,Other,DWI,2/13/2019
Shelby,Other,TAMPER WITH/FAB PHY EVIDENCE,1/21/2018
Tarrant,Property,CREDIT CARD ABUSE ELDERLY,10/22/2018
Smith,Property,BURG BLDG,3/21/2019
Hutchinson,Property,BURG HABIT,4/10/2017
Ward,Other,EVAD ARREST DET W/VEH-ENH,11/5/2017
Harris,Property,THEFT<2500 2/MORE PREV CONV,8/27/2019
Bexar,Other,VIOL BOND/PROTECTIVE ORDER 2+ PR,3/7/2018
Nacogdoches,Drug,POSS C/S,7/27/2018
Hockley,Drug,POSS C/S,5/8/2018
Tarrant,Property,THEFT PROP>=2500<30K,11/11/2018
Henderson,Other,DRIVING WHILE INTOXICATED 3RD OR,7/29/2019
Tarrant,Property,THEFT <$2500-2/M PREV CONVS,5/1/2019
Ellis,Property,THEFT PROP W/PRIORS,11/18/2018
Dallas,Property,BURG OF BLDG,4/21/2018
Travis,Other,ATT FAIL TO COMPLY SEX OFF DUTY,6/5/2019
Bell,Drug,POSS CS L/1G,4/27/2018
Dallas,Property,BURG BUILDING,3/8/2018
Collin,Property,THEFT PROP<2500 2/MORE PREV CONV,12/29/2018
Travis,Other,EVADE ARREST DET W/PREV CONV,8/5/2019
Harris,Property,BURG BLDG WIC THEFT,2/4/2018
Henderson,Other,BAIL JUMP FAIL TO APPEAR,6/1/2017
Limestone,Drug,POSS C/S PG1<1G,7/13/2018
Montgomery,Drug,POSS W/INT DEL/MAN CONT SUBS,2/13/2018
Bexar,Property,CRIM MISCH $2500-$30K,5/29/2018
Travis,Property,UUV,8/7/2019
Tom Green,Drug,POSS CS PG1 L1G-METH,10/26/2017
Lubbock,Property,"THEFT U/$2,500 2/PRIORS",12/14/2018
Hidalgo,Property,THEFT PROP<$2500 2/MOR PRE CONV,8/7/2019
Midland,Other,FAIL TO APPEAR,1/12/2017
Smith,Other,DWI 3RD,2/10/2019
Harris,Drug,MAN/DEL CS PG1<1G,1/16/2020
Gregg,Property,THEFT PROP<2500 W 2/M PREV CONV,3/2/2019
Travis,Other,DWI,3/16/2017
Travis,Property,THEFT PROP $2500-$30K,5/15/2019
Tom Green,Property,FORGERY FINANCIAL INSTRUMENT,12/4/2017
Harris,Violent,AGG ASSAULT FAMILY MEMBER,4/8/2017
Tom Green,Drug,POSS CS PG1 L/1G METH,12/22/2018
Taylor,Drug,POSS COCAINE,12/15/2017
Liberty,Drug,POSS CONT SUB 1-4G,3/25/2017
Smith,Drug,POSS CONT SUB PG1 1G,7/10/2018
Cass,Other,DWI 3RD MORE,8/3/2017
Harris,Other,EVADE ARREST DET W/VEH,12/12/2017
Tarrant,Drug,POSS C/S<1G; METH,6/3/2019
Lamar,Property,THEFT PROP $30K-$150K,8/1/2017
Grayson,Drug,POSS C/S PG1<1G; COCAINE,1/16/2017
Archer,Drug,MAN DEL CONT SUBS 1-4G,6/20/2018
Montgomery,Drug,POSS CONT SUBS,12/30/2019
El Paso,Other,DWI,12/10/2017
Palo Pinto,Drug,"POSS CS PG1 L1G, METH",2/17/2018
Montgomery,Drug,POSS CS,12/23/2019
Brazoria,Property,THEFT W/2 MORE PREV CONVS,1/31/2018
Dallas,Violent,ASLT PUBLIC SERVANT,3/5/2017
El Paso,Drug,POSS CONT SUB PG1 L/1G,11/29/2018
Harris,Property,THEFT<2500 2/MORE PREV CONV,4/23/2019
Henderson,Drug,POSS CONT SUB,3/21/2018
Cooke,Violent,CONTINUOUS VIOL AGAINST FAMILY,4/20/2018
Ector,Drug,POSS CONT SUB 1-4G,1/14/2018
Harris,Other,FELON POSS WPN,4/19/2018
Tarrant,Other,VIOL BOND/PROTECT ORDER,1/10/2018
Tom Green,Other,SEX OFFENDERS DUTY TO REG LIFE/A,1/9/2017
Harris,Drug,POSS CONT SUB 1-4G,2/8/2017
Bexar,Property,BURGLARY BUILDING-INTENT THEFT,7/17/2018
Harris,Drug,POSS SYNTH CANNABINOIDS 4OZ-5LBS,3/30/2017
Harris,Drug,POSS CS PG1<1G COC,6/10/2019
Harris,Property,THEFT<2500 2/MORE PREV CONV,7/6/2019
Harris,Property,THEFT <$2500 2/MORE PREV CONVS,6/10/2019
Midland,Drug,MAN/DEL CONT SUB PG1 1-4G,11/22/2017
Ector,Drug,POSS CS PG1<1G,8/4/2018
Kaufman,Drug,POSS CONT SUBS PG1 L/1G,5/9/2017
Tarrant,Property,FORGY-POSS OF CHECK WIT PASS,12/1/2018
Rusk,Drug,POSS C/S PG1<1G,1/31/2018
Smith,Drug,POSS CS PG1 <1G,2/25/2019
Harris,Drug,POSS COCAINE L/1G,2/1/2017
Travis,Other,DWI,6/14/2017
Collin,Drug,POSS CONT SUB PG1 1-4G,8/22/2017
Dallas,Drug,POSS C/S,10/12/2018
Dallas,Violent,AGG ASSAULT DATE/FAMILY/HOUSE W/,6/17/2018
Harris,Property,UUV,11/30/2019
Johnson,Drug,POSS CS PG1 L/1G,10/19/2018
Gregg,Property,UUMV,7/2/2018
El Paso,Property,FRAUD USE/POSS ID 10-50 ITEMS,10/5/2018
Ector,Property,THEFT OF MATERIAL COPPER,1/6/2018
Harris,Property,BURG BLDG,6/27/2019
Williamson,Drug,POSS CONT SUB PG1 1G,8/16/2018
Dewitt,Violent,ASLT FAM VIOL W/PREV CONV HAB,5/29/2018
Trinity,Drug,POSS C/S,10/2/2017
Collin,Other,DWI,6/11/2017
Travis,Drug,MAN DEL CS PG1 L/1G COCAINE,6/26/2017
Tarrant,Other,EVADING ARREST DETN W/VEH,8/12/2018
Tarrant,Property,THEFT <2500 2/MORE PREV CONV,5/14/2018
Tarrant,Property,FALSE STATE PROP/CREDIT 2500-30K,11/3/2017
Travis,Property,BURG OF BLDG,8/23/2019
Brazos,Drug,POSS CS PG1 LT 1G,6/21/2019
Harris,Other,DWI THIRD,12/24/2018
Harris,Violent,AGG ASLT DW,3/21/2018
Cooke,Other,DWI,3/1/2018
Dallas,Drug,POSS C/S; COCAINE,10/4/2019
Wise,Other,DWI 3RD OR MORE,8/26/2018
Bexar,Drug,POSS CS PG 1 < 1G,4/9/2019
Dallas,Other,DRIVING WHILE INTOXICATED 3RD OR,6/27/2017
Wise,Drug,POSS CONT SUB PG1 L/1G,11/15/2017
Johnson,Other,ONLINE SOLICIT MINOR,4/4/2017
Dallas,Drug,MAN DEL CS PID 1G COCAINE,6/28/2017
Van Zandt,Drug,POSS CONT SUB PG1 1-4G,10/24/2017
Rockwall,Other,ENGAGE IN ORG CRIM ACT,11/11/2017
Brazoria,Property,CREDIT/DEBIT CARD ABUSE,4/4/2018
Dallas,Property,CREDIT CARD ABUSE,7/18/2018
Fort Bend,Other,DRIVING WHILE INTOXICATED 3RD OR,1/7/2018
Harris,Drug,POSS WID COCAINE 1-4G,3/2/2018
Liberty,Drug,POSS CONT SUB L/1G,6/16/2017
Dallas,Violent,ASLT BI FAMILY VIOLENCE,7/10/2018
Galveston,Other,SEX OFFENDERS DUTY TO REGISTER,6/14/2018
El Paso,Property,THEFT MAT/AL/BRNZ/CPR/BRASS<$20K,1/8/2018
Galveston,Drug,POSS CS METH PG1 4-200G,9/16/2018
Washington,Other,POSS FIREARM BY FELON,8/7/2017
Live Oak,Other,DRIVING WHILE INTOXICATED 3RD OR,12/22/2018
Houston,Drug,POSS COCAINE<1G,11/24/2018
Lamar,Drug,POSS CS PG1 L1G,5/2/2019
Tarrant,Drug,POSS C/S<1G; METH,9/29/2018
Williamson,Other,DWI 3RD OR MORE,1/18/2018
Brazoria,Violent,AGG ASLT,4/8/2017
Jefferson,Drug,POSS CONT SUB,2/11/2018
Collin,Other,TAMP/FAB PHYS EVID W/INT IMPAIR,4/9/2017
Williamson,Drug,POSS CS PG2 L/1G,10/9/2019
Bexar,Property,THEFT U/$2500,4/1/2017
Dallas,Property,THEFT PROP $2500 W/PREV CONV,1/27/2019
Harris,Other,ATT TAMP GOVT RECORD,11/29/2017
Bexar,Property,"THEFT $2,500 TO <$30,000 VEHI",3/20/2019
Tom Green,Property,BURGLARY OF A BUILDING,12/24/2018
Hidalgo,Drug,POSS CS PG1<1G,5/17/2019
Harris,Other,FAIL COMPLY SEX OFFENDER REG,1/20/2017
Jefferson,Drug,POSS CS PG1,10/8/2017
Dallas,Property,THEFT PROP>=2500<30K,5/15/2019
Dallas,Property,THEFT 2500,8/11/2019
Bexar,Other,FELON POSS FIREARM,1/7/2018
Hays,Violent,STALKING,6/5/2017
Ellis,Violent,HARASSMENT OF PUB SERV,1/10/2018
Bexar,Drug,POCS PG 1 <1G,3/9/2017
Tarrant,Drug,POSS CS 1-4G METH,3/5/2019
Hopkins,Other,DRIVING WHILE INTOXICATED 3RD OR,6/20/2019
Hidalgo,Drug,POSS CS PG1<1G,7/12/2018
Dallas,Property,THEFT PROP L/$2500 W/2/M PREV CO,8/30/2017
Tarrant,Property,ATT ARSON INT DAMAGE HABIT,6/20/2017
Dallas,Property,FORGE FINANCIAL INSTRUMENT,7/17/2018
Dallas,Property,THEFT <2500 W/2 PREV CONV,4/24/2019
Bexar,Other,EVDING ARREST/DET-2ND,11/4/2017
Ellis,Property,THEFT,7/30/2017
Bexar,Property,UNAUTH USE VEH-HABITUAL,8/17/2018
Dallas,Property,FORG FINAN INST,7/23/2018
Bexar,Violent,ASLT FAM CHOKING/STRANGU,11/16/2017
Harris,Drug,MAN/DEL CS PG1<1G,2/27/2019
Harris,Property,THEFT<2500 2/MORE PREV CONV,1/7/2019
Bowie,Other,DWI 3RD MORE,9/9/2018
Montgomery,Other,DWI,1/27/2019
Blanco,Drug,POSS CONT SUB PG1 4-200G WID,11/21/2017
Tarrant,Drug,POSS CS 1-4G HEROIN,1/12/2018
Hopkins,Drug,POSS CS PG1 L1G,12/6/2017
Burleson,Other,VIOL PROT ORDER FAM VIOL,12/9/2017
Dallas,Property,"THEFT PROP <$2,500  2/MORE PREV",11/7/2018
Bexar,Property,THEFT UNDER $2500 ENHANCED,12/6/2018
Randall,Drug,MAN DEL CONT SUB PG1 4-200G,1/16/2017
Harris,Other,DWI THIRD,9/30/2017
Tarrant,Other,EVADING ARREST DET W/PREV CONV,8/25/2019
Terry,Other,TAMP/FAB PHYS EVID INT IMPAIR,11/26/2018
Fannin,Drug,POSS CS PG1 L1G,2/23/2019
Bexar,Property,THEFT UNDER $2500,10/12/2018
Mills,Other,DWI,3/31/2018
Mason,Other,DWI,8/19/2017
El Paso,Property,THEFT PROP<$2500 2/MORE PREV CON,4/30/2018
Grayson,Other,DWI 3RD,7/3/2018
Upshur,Other,TAMPERING W/PHYSICAL EVIDENCE,5/9/2018
Bandera,Other,FAILURE TO APPEAR,1/22/2019
Collin,Other,DWI 3RD MORE,6/22/2017
Dallas,Property,BURG/VEHICLE W/2 OR MORE CONV,5/21/2018
Kleberg,Violent,ASLT PUBLIC SERV,6/18/2018
Harris,Drug,POSS CS PG1<1G,11/9/2018
Travis,Other,DWI.,4/11/2017
Hidalgo,Other,DWI,8/26/2017
Hidalgo,Property,BURG BLDG,6/11/2019
Taylor,Property,THEFT (ENHANCED),11/18/2017
Harris,Other,DWI,2/20/2017
Brazoria,Other,DWI 3RD/MORE,5/6/2018
Harris,Property,BURG OF BUILD,10/20/2018
Kaufman,Drug,POSS CS PG 1 >=1G<4G,7/1/2019
Brazos,Property,THEFT PROP $2500 2/M PREV CONV,6/1/2017
Dallas,Violent,ASLT FAM VIOL IMP BRTH CIRC,6/29/2017
Dallas,Violent,ASLT PUB SERVANT,2/17/2017
Dallas,Drug,POSS CS:HEROIN,8/20/2017
El Paso,Other,DWI,11/6/2018
Travis,Violent,ACCID INVOLV SBI,4/10/2017
Waller,Property,CREDIT/DEBIT CARD ABUSE ELDER,8/9/2018
Tarrant,Property,THEFT L/$2500 2/M PREV,11/4/2018
Grayson,Other,DWI 3RD OR MORE,12/3/2018
Bowie,Drug,POSS C/S,6/25/2019
McLennan,Other,DWI,7/3/2017
McLennan,Drug,POSS CS METH,6/15/2018
Henderson,Drug,POSS OF CONT/SUBS,1/8/2018
Harris,Other,EVAD ARREST/DETEN W/PREV CONV,5/31/2019
Dallas,Drug,POSS CS DFZ COCAINE,2/8/2017
Bexar,Other,FELON POSS FIREARM,10/9/2018
Comal,Other,BAIL JUMPING FAIL TO APPEAR,5/23/2017
Bowie,Other,DWI,7/20/2018
Coryell,Other,PROH SUB/ITEM IN CORR FAC,12/30/2017
El Paso,Violent,AGG ASLT W/DWPN,7/27/2017
